ID,employeeCode,employeeName,email,phone,jobTitle,employeeType,department_ID,status,createdAt,createdBy,modifiedAt,modifiedBy
32000001-0001-0001-0001-000000000001,EMP-IN-001,Arun Kumar,arun.kumar@ckdqpr.com,+919876543201,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000001,ACTIVE,2026-09-15T11:00:00Z,system,2026-09-15T11:00:00Z,system
32000001-0001-0001-0001-000000000002,EMP-IN-002,Priya Sharma,priya.sharma@ckdqpr.com,+919876543202,Order Coordinator,PERMANENT,31000001-0001-0001-0001-000000000001,ACTIVE,2026-09-15T11:01:00Z,system,2026-09-15T11:01:00Z,system
32000001-0001-0001-0001-000000000003,EMP-IN-003,Rahul Raj,rahul.raj@ckdqpr.com,+919876543203,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000002,ACTIVE,2026-09-15T11:02:00Z,system,2026-09-15T11:02:00Z,system
32000001-0001-0001-0001-000000000004,EMP-IN-004,Divya Nair,divya.nair@ckdqpr.com,+919876543204,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000002,ACTIVE,2026-09-15T11:03:00Z,system,2026-09-15T11:03:00Z,system
32000001-0001-0001-0001-000000000005,EMP-TH-001,Somchai Prasert,somchai.prasert@ckdqpr.com,+66812345001,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000003,ACTIVE,2026-09-15T11:04:00Z,system,2026-09-15T11:04:00Z,system
32000001-0001-0001-0001-000000000006,EMP-TH-002,Narin Chai,narin.chai@ckdqpr.com,+66812345002,Order Coordinator,CONTRACT,31000001-0001-0001-0001-000000000003,ACTIVE,2026-09-15T11:05:00Z,system,2026-09-15T11:05:00Z,system
32000001-0001-0001-0001-000000000007,EMP-TH-003,Suda Arun,suda.arun@ckdqpr.com,+66812345003,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000004,ACTIVE,2026-09-15T11:06:00Z,system,2026-09-15T11:06:00Z,system
32000001-0001-0001-0001-000000000008,EMP-TH-004,Anong Dee,anong.dee@ckdqpr.com,+66812345004,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000004,ACTIVE,2026-09-15T11:07:00Z,system,2026-09-15T11:07:00Z,system
32000001-0001-0001-0001-000000000009,EMP-BR-001,Carlos Silva,carlos.silva@ckdqpr.com,+5511987654301,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000005,ACTIVE,2026-09-15T11:08:00Z,system,2026-09-15T11:08:00Z,system
32000001-0001-0001-0001-000000000010,EMP-BR-002,Mariana Costa,mariana.costa@ckdqpr.com,+5511987654302,Order Coordinator,CONTRACT,31000001-0001-0001-0001-000000000005,ACTIVE,2026-09-15T11:09:00Z,system,2026-09-15T11:09:00Z,system
32000001-0001-0001-0001-000000000011,EMP-BR-003,Joao Santos,joao.santos@ckdqpr.com,+5511987654303,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000006,ACTIVE,2026-09-15T11:10:00Z,system,2026-09-15T11:10:00Z,system
32000001-0001-0001-0001-000000000012,EMP-BR-004,Ana Oliveira,ana.oliveira@ckdqpr.com,+5511987654304,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000006,ACTIVE,2026-09-15T11:11:00Z,system,2026-09-15T11:11:00Z,system
32000001-0001-0001-0001-000000000013,EMP-AR-001,Martin Gomez,martin.gomez@ckdqpr.com,+541112345601,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000007,ACTIVE,2026-09-15T11:12:00Z,system,2026-09-15T11:12:00Z,system
32000001-0001-0001-0001-000000000014,EMP-AR-002,Lucia Perez,lucia.perez@ckdqpr.com,+541112345602,Order Coordinator,CONTRACT,31000001-0001-0001-0001-000000000007,ACTIVE,2026-09-15T11:13:00Z,system,2026-09-15T11:13:00Z,system
32000001-0001-0001-0001-000000000015,EMP-AR-003,Diego Torres,diego.torres@ckdqpr.com,+541112345603,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000008,ACTIVE,2026-09-15T11:14:00Z,system,2026-09-15T11:14:00Z,system
32000001-0001-0001-0001-000000000016,EMP-AR-004,Sofia Ruiz,sofia.ruiz@ckdqpr.com,+541112345604,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000008,ACTIVE,2026-09-15T11:15:00Z,system,2026-09-15T11:15:00Z,system
32000001-0001-0001-0001-000000000017,EMP-CO-001,Juan Rodriguez,juan.rodriguez@ckdqpr.com,+57123456001,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000009,ACTIVE,2026-09-15T11:16:00Z,system,2026-09-15T11:16:00Z,system
32000001-0001-0001-0001-000000000018,EMP-CO-002,Camila Lopez,camila.lopez@ckdqpr.com,+57123456002,Order Coordinator,CONTRACT,31000001-0001-0001-0001-000000000009,ACTIVE,2026-09-15T11:17:00Z,system,2026-09-15T11:17:00Z,system
32000001-0001-0001-0001-000000000019,EMP-CO-003,Andres Mora,andres.mora@ckdqpr.com,+57123456003,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000010,ACTIVE,2026-09-15T11:18:00Z,system,2026-09-15T11:18:00Z,system
32000001-0001-0001-0001-000000000020,EMP-CO-004,Valentina Cruz,valentina.cruz@ckdqpr.com,+57123456004,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000010,ACTIVE,2026-09-15T11:19:00Z,system,2026-09-15T11:19:00Z,system
32000001-0001-0001-0001-000000000021,EMP-ID-001,Budi Santoso,budi.santoso@ckdqpr.com,+622112345601,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000011,ACTIVE,2026-09-15T11:20:00Z,system,2026-09-15T11:20:00Z,system
32000001-0001-0001-0001-000000000022,EMP-ID-002,Sari Putri,sari.putri@ckdqpr.com,+622112345602,Order Coordinator,CONTRACT,31000001-0001-0001-0001-000000000011,ACTIVE,2026-09-15T11:21:00Z,system,2026-09-15T11:21:00Z,system
32000001-0001-0001-0001-000000000023,EMP-ID-003,Agus Wijaya,agus.wijaya@ckdqpr.com,+622112345603,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000012,ACTIVE,2026-09-15T11:22:00Z,system,2026-09-15T11:22:00Z,system
32000001-0001-0001-0001-000000000024,EMP-ID-004,Rina Dewi,rina.dewi@ckdqpr.com,+622112345604,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000012,ACTIVE,2026-09-15T11:23:00Z,system,2026-09-15T11:23:00Z,system
32000001-0001-0001-0001-000000000025,EMP-UK-001,James Wilson,james.wilson@ckdqpr.com,+441612345601,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000013,ACTIVE,2026-09-15T11:24:00Z,system,2026-09-15T11:24:00Z,system
32000001-0001-0001-0001-000000000026,EMP-UK-002,Emily Brown,emily.brown@ckdqpr.com,+441612345602,Order Coordinator,CONTRACT,31000001-0001-0001-0001-000000000013,ACTIVE,2026-09-15T11:25:00Z,system,2026-09-15T11:25:00Z,system
32000001-0001-0001-0001-000000000027,EMP-UK-003,Oliver Smith,oliver.smith@ckdqpr.com,+441612345603,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000014,ACTIVE,2026-09-15T11:26:00Z,system,2026-09-15T11:26:00Z,system
32000001-0001-0001-0001-000000000028,EMP-UK-004,Sophie Taylor,sophie.taylor@ckdqpr.com,+441612345604,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000014,ACTIVE,2026-09-15T11:27:00Z,system,2026-09-15T11:27:00Z,system
32000001-0001-0001-0001-000000000029,EMP-AU-001,Liam Brown,liam.brown@ckdqpr.com,+61391234501,Order Manager,PERMANENT,31000001-0001-0001-0001-000000000015,ACTIVE,2026-09-15T11:28:00Z,system,2026-09-15T11:28:00Z,system
32000001-0001-0001-0001-000000000030,EMP-AU-002,Olivia Wilson,olivia.wilson@ckdqpr.com,+61391234502,Order Coordinator,CONTRACT,31000001-0001-0001-0001-000000000015,ACTIVE,2026-09-15T11:29:00Z,system,2026-09-15T11:29:00Z,system
32000001-0001-0001-0001-000000000031,EMP-AU-003,Noah Taylor,noah.taylor@ckdqpr.com,+61391234503,Returns Manager,PERMANENT,31000001-0001-0001-0001-000000000016,ACTIVE,2026-09-15T11:30:00Z,system,2026-09-15T11:30:00Z,system
32000001-0001-0001-0001-000000000032,EMP-AU-004,Isla Martin,isla.martin@ckdqpr.com,+61391234504,Quality Analyst,CONTRACT,31000001-0001-0001-0001-000000000016,ACTIVE,2026-09-15T11:31:00Z,system,2026-09-15T11:31:00Z,system
